referee,date,location,winner,title_bout,weight_class
Chris Tognoni,3/20/2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight
Herb Dean,3/20/2021,"Las Vegas, Nevada, USA",Red,False,Middleweight
Herb Dean,3/20/2021,"Las Vegas, Nevada, USA",Red,False,Heavyweight
Mark Smith,3/20/2021,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight
Mark Smith,3/20/2021,"Las Vegas, Nevada, USA",Blue,False,WomenBantamweight
Chris Tognoni,3/20/2021,"Las Vegas, Nevada, USA",Blue,False,Lightweight
Keith Peterson,3/20/2021,"Las Vegas, Nevada, USA",Blue,False,Welterweight
Herb Dean,3/20/2021,"Las Vegas, Nevada, USA",Red,False,Middleweight
Keith Peterson,3/20/2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight
Mark Smith,3/20/2021,"Las Vegas, Nevada, USA",Red,False,Flyweight
,3/13/2021,"Las Vegas, Nevada, USA",Blue,False,Flyweight
Mark Smith,3/13/2021,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight
Mark Smith,3/13/2021,"Las Vegas, Nevada, USA",Red,False,Featherweight
Mike Beltran,3/13/2021,"Las Vegas, Nevada, USA",Red,False,WomenStrawweight
Chris Tognoni,3/13/2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight
Mike Beltran,3/13/2021,"Las Vegas, Nevada, USA",Red,False,Featherweight
Chris Tognoni,3/13/2021,"Las Vegas, Nevada, USA",Red,False,Lightweight
Mark Smith,3/13/2021,"Las Vegas, Nevada, USA",Blue,False,WomenFlyweight
Chris Tognoni,3/13/2021,"Las Vegas, Nevada, USA",Red,False,Welterweight
Herb Dean,3/13/2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight
Mike Beltran,3/13/2021,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight
Jason Herzog,3/6/2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight
Mark Smith,3/6/2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight
Mark Smith,3/6/2021,"Las Vegas, Nevada, USA",Blue,True,Bantamweight
Herb Dean,3/6/2021,"Las Vegas, Nevada, USA",Red,True,LightHeavyweight
Herb Dean,3/6/2021,"Las Vegas, Nevada, USA",Blue,False,LightHeavyweight
Jason Herzog,3/6/2021,"Las Vegas, Nevada, USA",Blue,False,Flyweight
Jason Herzog,3/6/2021,"Las Vegas, Nevada, USA",Red,True,WomenFeatherweight
Chris Tognoni,3/6/2021,"Las Vegas, Nevada, USA",Red,False,Lightweight
Mark Smith,3/6/2021,"Las Vegas, Nevada, USA",Red,False,Flyweight
Jason Herzog,3/6/2021,"Las Vegas, Nevada, USA",Blue,False,WomenStrawweight
Herb Dean,3/6/2021,"Las Vegas, Nevada, USA",Blue,False,Flyweight
Mark Smith,3/6/2021,"Las Vegas, Nevada, USA",Red,False,Lightweight
Herb Dean,3/6/2021,"Las Vegas, Nevada, USA",Red,False,LightHeavyweight
Chris Tognoni,3/6/2021,"Las Vegas, Nevada, USA",Red,False,Welterweight
Chris Tognoni,3/6/2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight
Herb Dean,2/27/2021,"Las Vegas, Nevada, USA",Blue,False,Heavyweight
Jerin Valel,2/27/2021,"Las Vegas, Nevada, USA",Blue,False,Bantamweight
Mark Smith,2/27/2021,"Las Vegas, Nevada, USA",Blue,False,Lightweight
Herb Dean,2/27/2021,"Las Vegas, Nevada, USA",Red,False,Bantamweight
Chris Tognoni,2/27/2021,"Las Vegas, Nevada, USA",Red,False,Featherweight
Chris Tognoni,2/27/2021,"Las Vegas, Nevada, USA",Red,False,WomenBantamweight
